home,away,p_home,p_draw,p_away,commence_time
Mexico,South Africa,0.6717557251908397,0.21628498727735368,0.11195928753180662,2026-06-11T19:00:00Z
South Korea,Czechia,0.35612082670906203,0.3004769475357711,0.34340222575516693,2026-06-12T02:00:00Z
Canada,Bosnia,0.5333333333333333,0.26666666666666666,0.19999999999999998,2026-06-12T19:00:00Z
USA,Paraguay,0.4980314960629921,0.2755905511811023,0.22637795275590547,2026-06-13T01:00:00Z
Qatar,Switzerland,0.07961504811898512,0.14698162729658792,0.773403324584427,2026-06-13T19:00:00Z
Brazil,Morocco,0.5688978718345025,0.256330995125431,0.17477113304006658,2026-06-13T22:00:00Z
Haiti,Scotland,0.15993623804463336,0.22316684378320936,0.6168969181721573,2026-06-14T01:00:00Z
Australia,Turkey,0.19111483654652137,0.2514668901927913,0.5574182732606874,2026-06-14T04:00:00Z
Germany,Curacao,0.9124319179313627,0.05520596478240178,0.032362117286235524,2026-06-14T17:00:00Z
Netherlands,Japan,0.45690151660587436,0.2754847379535419,0.26761374544058353,2026-06-14T20:00:00Z
Ivory Coast,Ecuador,0.26791366906474817,0.3384172661870503,0.3936690647482014,2026-06-14T23:00:00Z
Sweden,Tunisia,0.495061855915841,0.28015922833056567,0.22477891575359338,2026-06-15T02:00:00Z
Spain,Cape Verde,0.8834355828220859,0.07975460122699386,0.03680981595092025,2026-06-15T16:00:00Z
Belgium,Egypt,0.5711451247165532,0.24092970521541948,0.18792517006802723,2026-06-15T19:00:00Z
Saudi Arabia,Uruguay,0.11970979443772674,0.2128174123337364,0.6674727932285369,2026-06-15T22:00:00Z
Iran,New Zealand,0.5032094747310369,0.27845583581954614,0.21833468944941684,2026-06-16T01:00:00Z
France,Senegal,0.6515151515151515,0.2121212121212121,0.13636363636363635,2026-06-16T19:00:00Z
Iraq,Norway,0.06865671641791045,0.1373134328358209,0.7940298507462686,2026-06-16T22:00:00Z
Argentina,Algeria,0.6837209302325582,0.20930232558139536,0.10697674418604651,2026-06-17T01:00:00Z
Austria,Jordan,0.7248014319275087,0.1742924264459112,0.10090614162658015,2026-06-17T04:00:00Z
Portugal,DR Congo,0.7459983150800338,0.16680707666385847,0.08719460825610785,2026-06-17T17:00:00Z
England,Croatia,0.5548121461657232,0.24704065877509007,0.19814719505918685,2026-06-17T20:00:00Z
