player,team,goal_share,penalty_taker,american_odds
Kylian Mbappe,France,0.40,1,600
Harry Kane,England,0.42,1,700
Lionel Messi,Argentina,0.28,0,1200
Erling Haaland,Norway,0.46,1,1400
Lamine Yamal,Spain,0.20,0,1800
Vinicius Junior,Brazil,0.24,0,2000
Julian Alvarez,Argentina,0.26,1,2200
Cristiano Ronaldo,Portugal,0.32,1,2500
Raphinha,Brazil,0.22,1,2800
Memphis Depay,Netherlands,0.34,1,3000
Romelu Lukaku,Belgium,0.40,1,3300
Olmo,Spain,0.18,0,3500
Lautaro Martinez,Argentina,0.22,0,3500
Ousmane Dembele,France,0.20,0,4000
Jude Bellingham,England,0.18,0,4000
Cody Gakpo,Netherlands,0.22,0,5000
Florian Wirtz,Germany,0.18,0,6000
Niclas Fullkrug,Germany,0.28,0,7000
Luis Suarez Col,Colombia,0.30,0,9000
Johan Bakayoko,Belgium,0.18,0,9000
